Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"PHP Tips, Tricks, and Techniques","Become a better PHP programmer, one tutorial at a time. The series brings you tips, tricks, and techniques to build your PHP skills. David Powers offers a new course to broaden your understanding of what PHP can do and to help you become a more productive developer. To follow along, you should have a thorough understanding of PHP basics, but if you're still a beginner, you can watch this series for a dose of inspiration, until you're ready to implement the techniques in your own projects.<br><br>

Note: The exercise files are free to all members. The code is commented to enhance your learning, but you will need database connectivity for some files to run as intended.",Course,2021-02-06 03:46 UTC,N/A,false,N/A,
Ruby on Rails 6 Essential Training,"Want to get up and running with Ruby on Rails 6? This course shows you how to create full-featured, object-oriented web applications with the latest version of the open-source framework. Instructor Kevin Skoglund covers the essential features of Ruby on Rails 6, along with best practices and real-world development techniques, to create web applications with dynamic, database-driven content. Using a content management system as an example project, Kevin explains how to route incoming requests; render pages with dynamic content; build database-driven, object-oriented models; work with form data; and more. By the end of the course, you should be able to use Ruby on Rails to build robust web applications that are both easy to scale and maintain.",Course,2022-07-04 13:00 UTC,N/A,false,N/A,
Gérer les risques cybersécurité avec l’ISO 27001,"Avec Diane Ouandji, vous allez aborder la cybersécurité en entreprise et plus particulièrement la norme ISO 27001. Votre formatrice va d'abord brosser un tableau de cette norme et vous expliquer en quoi elle consiste et quel est son intérêt. Puis, vous apprendrez à poser le cadre de la gestion des risques, notamment en déterminant quelles sont les menaces potentielles et comment y remédier. Cela passera par la mise en place de mesures techniques et organisationnelles, sans parler de la prise en compte du facteur humain. La formation se conclut sur l'obtention de la certification.",Course,2025-02-22 06:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2881203,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2881203,Course,2021-06-12 00:16 UTC,N/A,false,N/A,
Astuces sur le management : Série,"Dans cette série, Todd Dewett vous révèle les astuces des managers les plus respectés pour améliorer vos rapports avec vos collaborateurs, gérer les situations délicates, bâtir des relations plus solides et développer votre activité. Chaque semaine, nous vous proposons de nouveaux conseils pour vous aider, par exemple, à éviter le redoutable micro-management, à gérer des équipes multigénérationnelles, à renforcer votre capacité d'écoute et à acquérir une meilleure compréhension de la politique de votre entreprise.",Course,2018-10-08 14:43 UTC,N/A,false,N/A,
L'essentiel de LinkedIn (2019),"Si vous débutez sur LinkedIn ou si vous souhaitez être plus à l'aise sur ce réseau socio-professionnel, cette formation est pour vous. Avec Grégory Mancel, consultant en stratégie digitale, vous ferez le tour des fonctionnalités essentielles et des paramètres de gestion de compte et de confidentialité. Vous verrez comment créer, compléter et optimiser votre profil afin que l'on vous trouve plus facilement sur les moteurs de recherche. Vous prendrez également en main des outils performants pour développer un réseau de qualité, effectuer une veille efficace, prospecter, générer de l'engagement et publier avec pertinence sur LinkedIn.",Course,2025-01-28 15:51 UTC,N/A,false,N/A,
Learning TypeScript,"TypeScript adds discipline to JavaScript development. You can find errors in your code before you execute it, and leverage productivity enhancements like variable and property renaming. Despite its many parts—types, annotations, interfaces, and classes—adding TypeScript to your workflow doesn't have to be difficult.  Join web developer Jess Chadwick as he walks you through the foundations, helping you set up TypeScript and use it in simple ways to improve existing JavaScript projects. Learn how to define custom types, convert existing JavaScript classes to TypeScript classes, and encapsulate your logic and data with access modifiers. Plus, find out how to reuse code with generics, type check files, and add type support for APIs. Using these techniques, you can become a more productive, efficient JavaScript developer.",Course,2021-10-18 09:42 UTC,N/A,false,N/A,
Les fondements de la cryptomonnaie,"Pendant des centaines d’années, l’argent a été un concept assez simple : c’était un moyen d’échange accepté par les communautés et soutenu par les institutions financières et les gouvernements. Mais depuis une dizaine d’années, alors qu’une transformation numérique est à l’œuvre dans le monde entier, les cryptomonnaies entraînent une révolution monétaire en introduisant une nouvelle notion de l’argent, qui ne nécessite aucun intermédiaire pour fonctionner. Pour beaucoup, l’idée qu’une monnaie numérique qui semble avoir été créée à partir de rien puisse avoir de la valeur est difficile à concilier avec les précédentes conceptions de l’argent. Dans cette formation, Jonathan Reichental vous expliquera les fondements de la cryptomonnaie, notamment la technologie blockchain, les méthodes pour acheter et vendre des cryptos, le rôle des mineurs de cryptos, ainsi que les risques et défis à venir. L’univers des cryptomonnaies vous intéresse et vous en avez assez que vos proches veuillent absolument vous expliquer en quoi il consiste quand vous les voyez ? Jetez un œil à cette formation.",Course,2025-03-13 13:20 UTC,N/A,false,N/A,
Les fondements de la programmation : Les bases de données (2013),"Vous réalisez de la programmation ? La gestion des bases de données est un sujet essentiel pour vous ! Pour les programmes de gestion, les applications pour mobiles, les applications web et pour la science, vous aurez besoin d'utiliser des moteurs de bases de données, de comprendre comment ils fonctionnent et comment manipuler les données. C'est ce que vous apprendrez dans cette formation. Rudi Bruchez vous fera découvrir un des moteurs les plus populaires : MySQL. Vous saurez ainsi créer des bases de données avec modélisation, faire du développement SQL et des accès à partir d'un code client.",Course,2018-03-22 19:46 UTC,N/A,false,N/A,
Node.js: Design Patterns,"Design patterns encourage programming efficiency and code reuse. Learn how to use the same design patterns used in Java and C++ programming in JavaScript. This course is a look at 13 of the most popular object-oriented design patterns as applied to Node.js. Learn essential creational and structural patterns to help solve common coding challenges, while introducing best practices that will keep solutions consistent, complete, and correct. Instructor Alex Banks shows how to implement and improve these patterns so that they are optimized for the Node library.",Course,2018-10-08 14:43 UTC,N/A,false,N/A,
